date,week,isHoliday
20220101,Saturday,TRUE
20220102,Sunday,TRUE
20220103,Monday,FALSE
20220104,Tuesday,FALSE
20220105,Wednesday,FALSE
20220106,Thursday,FALSE
20220107,Friday,FALSE
20220108,Saturday,TRUE
20220109,Sunday,TRUE
20220110,Monday,FALSE
20220111,Tuesday,FALSE
20220112,Wednesday,FALSE
20220113,Thursday,FALSE
20220114,Friday,FALSE
20220115,Saturday,TRUE
20220116,Sunday,TRUE
20220117,Monday,FALSE
20220118,Tuesday,FALSE
20220119,Wednesday,FALSE
20220120,Thursday,FALSE
20220121,Friday,FALSE
20220122,Saturday,FALSE
20220123,Sunday,TRUE
20220124,Monday,FALSE
20220125,Tuesday,FALSE
20220126,Wednesday,FALSE
20220127,Thursday,FALSE
20220128,Friday,FALSE
20220129,Saturday,TRUE
20220130,Sunday,TRUE
20220131,Monday,TRUE
20220201,Tuesday,TRUE
20220202,Wednesday,TRUE
20220203,Thursday,TRUE
20220204,Friday,TRUE
20220205,Saturday,TRUE
20220206,Sunday,TRUE
20220207,Monday,FALSE
20220208,Tuesday,FALSE
20220209,Wednesday,FALSE
20220210,Thursday,FALSE
20220211,Friday,FALSE
20220212,Saturday,TRUE
20220213,Sunday,TRUE
20220214,Monday,FALSE
20220215,Tuesday,FALSE
20220216,Wednesday,FALSE
20220217,Thursday,FALSE
20220218,Friday,FALSE
20220219,Saturday,TRUE
20220220,Sunday,TRUE
20220221,Monday,FALSE
20220222,Tuesday,FALSE
20220223,Wednesday,FALSE
20220224,Thursday,FALSE
20220225,Friday,FALSE
20220226,Saturday,TRUE
20220227,Sunday,TRUE
20220228,Monday,TRUE
20220301,Tuesday,FALSE
20220302,Wednesday,FALSE
20220303,Thursday,FALSE
20220304,Friday,FALSE
20220305,Saturday,TRUE
20220306,Sunday,TRUE
20220307,Monday,FALSE
20220308,Tuesday,FALSE
20220309,Wednesday,FALSE
20220310,Thursday,FALSE
20220311,Friday,FALSE
20220312,Saturday,TRUE
20220313,Sunday,TRUE
20220314,Monday,FALSE
20220315,Tuesday,FALSE
20220316,Wednesday,FALSE
20220317,Thursday,FALSE
20220318,Friday,FALSE
20220319,Saturday,TRUE
20220320,Sunday,TRUE
20220321,Monday,FALSE
20220322,Tuesday,FALSE
20220323,Wednesday,FALSE
20220324,Thursday,FALSE
20220325,Friday,FALSE
20220326,Saturday,TRUE
20220327,Sunday,TRUE
20220328,Monday,FALSE
20220329,Tuesday,FALSE
20220330,Wednesday,FALSE
20220331,Thursday,FALSE
20220401,Friday,FALSE
20220402,Saturday,TRUE
20220403,Sunday,TRUE
20220404,Monday,TRUE
20220405,Tuesday,TRUE
20220406,Wednesday,FALSE
20220407,Thursday,FALSE
20220408,Friday,FALSE
20220409,Saturday,TRUE
20220410,Sunday,TRUE
20220411,Monday,FALSE
20220412,Tuesday,FALSE
20220413,Wednesday,FALSE
20220414,Thursday,FALSE
20220415,Friday,FALSE
20220416,Saturday,TRUE
20220417,Sunday,TRUE
20220418,Monday,FALSE
20220419,Tuesday,FALSE
20220420,Wednesday,FALSE
20220421,Thursday,FALSE
20220422,Friday,FALSE
20220423,Saturday,TRUE
20220424,Sunday,TRUE
20220425,Monday,FALSE
20220426,Tuesday,FALSE
20220427,Wednesday,FALSE
20220428,Thursday,FALSE
20220429,Friday,FALSE
20220430,Saturday,TRUE
20220501,Sunday,TRUE
20220502,Monday,FALSE
20220503,Tuesday,FALSE
20220504,Wednesday,FALSE
20220505,Thursday,FALSE
20220506,Friday,FALSE
20220507,Saturday,TRUE
20220508,Sunday,TRUE
20220509,Monday,FALSE
20220510,Tuesday,FALSE
20220511,Wednesday,FALSE
20220512,Thursday,FALSE
20220513,Friday,FALSE
20220514,Saturday,TRUE
20220515,Sunday,TRUE
20220516,Monday,FALSE
20220517,Tuesday,FALSE
20220518,Wednesday,FALSE
20220519,Thursday,FALSE
20220520,Friday,FALSE
20220521,Saturday,TRUE
20220522,Sunday,TRUE
20220523,Monday,FALSE
20220524,Tuesday,FALSE
20220525,Wednesday,FALSE
20220526,Thursday,FALSE
20220527,Friday,FALSE
20220528,Saturday,TRUE
20220529,Sunday,TRUE
20220530,Monday,FALSE
20220531,Tuesday,FALSE
20220601,Wednesday,FALSE
20220602,Thursday,FALSE
20220603,Friday,TRUE
20220604,Saturday,TRUE
20220605,Sunday,TRUE
20220606,Monday,FALSE
20220607,Tuesday,FALSE
20220608,Wednesday,FALSE
20220609,Thursday,FALSE
20220610,Friday,FALSE
20220611,Saturday,TRUE
20220612,Sunday,TRUE
20220613,Monday,FALSE
20220614,Tuesday,FALSE
20220615,Wednesday,FALSE
20220616,Thursday,FALSE
20220617,Friday,FALSE
20220618,Saturday,TRUE
20220619,Sunday,TRUE
20220620,Monday,FALSE
20220621,Tuesday,FALSE
20220622,Wednesday,FALSE
20220623,Thursday,FALSE
20220624,Friday,FALSE
20220625,Saturday,TRUE
20220626,Sunday,TRUE
20220627,Monday,FALSE
20220628,Tuesday,FALSE
20220629,Wednesday,FALSE
20220630,Thursday,FALSE
20220701,Friday,FALSE
20220702,Saturday,TRUE
20220703,Sunday,TRUE
20220704,Monday,FALSE
20220705,Tuesday,FALSE
20220706,Wednesday,FALSE
20220707,Thursday,FALSE
20220708,Friday,FALSE
20220709,Saturday,TRUE
20220710,Sunday,TRUE
20220711,Monday,FALSE
20220712,Tuesday,FALSE
20220713,Wednesday,FALSE
20220714,Thursday,FALSE
20220715,Friday,FALSE
20220716,Saturday,TRUE
20220717,Sunday,TRUE
20220718,Monday,FALSE
20220719,Tuesday,FALSE
20220720,Wednesday,FALSE
20220721,Thursday,FALSE
20220722,Friday,FALSE
20220723,Saturday,TRUE
20220724,Sunday,TRUE
20220725,Monday,FALSE
20220726,Tuesday,FALSE
20220727,Wednesday,FALSE
20220728,Thursday,FALSE
20220729,Friday,FALSE
20220730,Saturday,TRUE
20220731,Sunday,TRUE
20220801,Monday,FALSE
20220802,Tuesday,FALSE
20220803,Wednesday,FALSE
20220804,Thursday,FALSE
20220805,Friday,FALSE
20220806,Saturday,TRUE
20220807,Sunday,TRUE
20220808,Monday,FALSE
20220809,Tuesday,FALSE
20220810,Wednesday,FALSE
20220811,Thursday,FALSE
20220812,Friday,FALSE
20220813,Saturday,TRUE
20220814,Sunday,TRUE
20220815,Monday,FALSE
20220816,Tuesday,FALSE
20220817,Wednesday,FALSE
20220818,Thursday,FALSE
20220819,Friday,FALSE
20220820,Saturday,TRUE
20220821,Sunday,TRUE
20220822,Monday,FALSE
20220823,Tuesday,FALSE
20220824,Wednesday,FALSE
20220825,Thursday,FALSE
20220826,Friday,FALSE
20220827,Saturday,TRUE
20220828,Sunday,TRUE
20220829,Monday,FALSE
20220830,Tuesday,FALSE
20220831,Wednesday,FALSE
20220901,Thursday,FALSE
20220902,Friday,FALSE
20220903,Saturday,TRUE
20220904,Sunday,TRUE
20220905,Monday,FALSE
20220906,Tuesday,FALSE
20220907,Wednesday,FALSE
20220908,Thursday,FALSE
20220909,Friday,TRUE
20220910,Saturday,TRUE
20220911,Sunday,TRUE
20220912,Monday,FALSE
20220913,Tuesday,FALSE
20220914,Wednesday,FALSE
20220915,Thursday,FALSE
20220916,Friday,FALSE
20220917,Saturday,TRUE
20220918,Sunday,TRUE
20220919,Monday,FALSE
20220920,Tuesday,FALSE
20220921,Wednesday,FALSE
20220922,Thursday,FALSE
20220923,Friday,FALSE
20220924,Saturday,TRUE
20220925,Sunday,TRUE
20220926,Monday,FALSE
20220927,Tuesday,FALSE
20220928,Wednesday,FALSE
20220929,Thursday,FALSE
20220930,Friday,FALSE
20221001,Saturday,TRUE
20221002,Sunday,TRUE
20221003,Monday,FALSE
20221004,Tuesday,FALSE
20221005,Wednesday,FALSE
20221006,Thursday,FALSE
20221007,Friday,FALSE
20221008,Saturday,TRUE
20221009,Sunday,TRUE
20221010,Monday,TRUE
20221011,Tuesday,FALSE
20221012,Wednesday,FALSE
